,Open,High,Low,Close,Adj Close,Volume
Mean,187.6866937729084,189.56175322310767,185.8237050597609,187.7119525816732,186.17427313545804,32704750.199203186
Median,186.28999299999998,187.399994,184.940002,186.119995,184.351776,29184000.0
Standard Deviation,22.14562070841718,22.281576535114603,22.008796847081836,22.160720905722187,21.90466447731359,14179721.592994347
Median Absolute Deviation,15.889998999999989,15.610001000000011,15.919997999999993,15.940001999999993,15.476044000000002,7573900.0
Interquartile Range,36.0000005,36.339996499999984,36.05999749999998,36.755004499999984,35.68543999999997,16311700.0
