,Open,High,Low,Close,Adj Close,Volume
Mean,25001.257267908382,25142.041965063752,24846.00222556175,24999.15358107171,24999.15358107171,332889442.2310757
Median,25025.580078,25124.099609,24883.039063,25044.289063,25044.289063,313790000.0
Standard Deviation,858.834707891723,815.2039594698118,903.3021863995071,859.1321052646014,859.1321052646014,94078038.14114986
Median Absolute Deviation,543.5410149999989,537.6191400000025,601.5683600000011,590.720702999999,590.720702999999,50460000.0
Interquartile Range,1109.4345700000013,1077.8164060000017,1204.4189449999976,1158.1552729999967,1158.1552729999967,108930000.0
