,Open,High,Low,Close,Adj Close,Volume
Mean,108.70768919521912,109.65207165737057,107.68298794023909,108.60657368525906,107.26259011553789,14700689.243027888
Median,109.18,110.529999,107.790001,109.019997,107.219269,13633000.0
Standard Deviation,5.3590809196677585,5.202870199844896,5.432537411157614,5.300479899659438,4.833316083096859,5349770.564456368
Median Absolute Deviation,4.4700010000000105,4.309996999999996,4.239998,4.350005999999993,3.4501570000000044,3035400.0
Interquartile Range,8.810005500000003,8.84500150000001,8.845001499999995,8.83499900000001,7.2224425,6233600.0
