Date,High,Low,Open,Close,Volume,Adj Close
1/2/15,2072.360107,2046.040039,2058.899902,2058.199951,2708700000,2058.199951
1/5/15,2054.439941,2017.339966,2054.439941,2020.579956,3799120000,2020.579956
1/6/15,2030.25,1992.439941,2022.150024,2002.609985,4460110000,2002.609985
1/7/15,2029.609985,2005.550049,2005.550049,2025.900024,3805480000,2025.900024
1/8/15,2064.080078,2030.609985,2030.609985,2062.139893,3934010000,2062.139893
1/9/15,2064.429932,2038.329956,2063.449951,2044.810059,3364140000,2044.810059
1/12/15,2049.300049,2022.579956,2046.130005,2028.26001,3456460000,2028.26001
1/13/15,2056.929932,2008.25,2031.579956,2023.030029,4107300000,2023.030029
1/14/15,2018.400024,1988.439941,2018.400024,2011.27002,4378680000,2011.27002
1/15/15,2021.349976,1991.469971,2013.75,1992.670044,4276720000,1992.670044
1/16/15,2020.459961,1988.119995,1992.25,2019.420044,4056410000,2019.420044
1/20/15,2028.939941,2004.48999,2020.76001,2022.550049,3944340000,2022.550049
1/21/15,2038.290039,2012.040039,2020.189941,2032.119995,3730070000,2032.119995
1/22/15,2064.620117,2026.380005,2034.300049,2063.149902,4176050000,2063.149902
1/23/15,2062.97998,2050.540039,2062.97998,2051.820068,3573560000,2051.820068
1/26/15,2057.620117,2040.969971,2050.419922,2057.090088,3465760000,2057.090088
1/27/15,2047.859985,2019.910034,2047.859985,2029.550049,3329810000,2029.550049
1/28/15,2042.48999,2001.48999,2032.339966,2002.160034,4067530000,2002.160034
1/29/15,2024.640015,1989.180054,2002.449951,2021.25,4127140000,2021.25
1/30/15,2023.319946,1993.380005,2019.349976,1994.98999,4568650000,1994.98999
2/2/15,2021.660034,1980.900024,1996.670044,2020.849976,4008330000,2020.849976
2/3/15,2050.300049,2022.709961,2022.709961,2050.030029,4615900000,2050.030029
2/4/15,2054.73999,2036.719971,2048.860107,2041.51001,4141920000,2041.51001
2/5/15,2063.550049,2043.449951,2043.449951,2062.52002,3821990000,2062.52002
2/6/15,2072.399902,2049.969971,2062.280029,2055.469971,4232970000,2055.469971
2/9/15,2056.159912,2041.880005,2053.469971,2046.73999,3549540000,2046.73999
2/10/15,2070.860107,2048.620117,2049.379883,2068.590088,3669850000,2068.590088
2/11/15,2073.47998,2057.98999,2068.550049,2068.530029,3596860000,2068.530029
